id;topic;body;answer;difficulty;type;option1;option2;option3;option4;
1;LaborLaw;In Canada, employees are entitled to a minimum of two weeks of paid vacation per year.;TRUE;EASY;TrueFalse;-;-;-;-;
2;LaborLaw;Canadian labor law mandates that employees must work a maximum of 48 hours per week.;FALSE;MEDIUM;TrueFalse;-;-;-;-;
3;LaborLaw;In Canada, all employees are entitled to receive overtime pay for any hours worked beyond 40 hours in a standard workweek.;FALSE;MEDIUM;TrueFalse;-;-;-;-;
4;LaborLaw;Pregnant employees in Canada have the right to take up to 18 months of maternity leave without the risk of losing their job.;TRUE;MEDIUM;TrueFalse;-;-;-;-;
5;LaborLaw;Canadian employees have the right to refuse unsafe work, and employers cannot penalize them for asserting this right.;TRUE;EASY;TrueFalse;-;-;-;-;
6;GenerativeAi;What does the term "generative" in generative AI refer to?;1;EASY;MCQ;Producing new and original content;Copying existing information;Deleting irrelevant data;Analyzing statistical patterns;
7;GenerativeAi;Which type of neural network is commonly used in generative AI models?;2;EASY;MCQ;Convolutional Neural Network (CNN);Recurrent Neural Network (RNN);Support Vector Machine (SVM);Decision Tree;
8;GenerativeAi;What is the primary goal of a generative adversarial network (GAN)?;2;MEDIUM;MCQ;Classification;Regression;Generation of realistic data;Data compression;
9;GenerativeAi;Which famous generative AI model is known for creating human-like text?;2;MEDIUM;MCQ;VGG16;GPT-3;ResNet;LSTM;
10;GenerativeAi;In the context of generative AI, what does "latent space" refer to?;2;MEDIUM;MCQ;The space between neurons in a neural network;The hidden representation of data within a model;The space where training data is stored;The physical location of the AI server;
11;GenerativeAi;What does the acronym GPT stand for?;4;MEDIUM;MCQ;Generative Prediction Transformer;Gradient Probability Tensor;Generalized Pattern Tracker;Generative Pre-trained Transformer;
12;GenerativeAi;Which of the following tasks is NOT typically associated with generative AI?;1;EASY;MCQ;Image recognition;Music composition;Text generation;Stock price prediction;
13;GenerativeAi;How does a variational autoencoder (VAE) differ from a regular autoencoder?;2;MEDIUM;MCQ;VAEs use convolutional layers;VAEs incorporate a probabilistic element in encoding;Regular autoencoders use adversarial training;Regular autoencoders have more layers;
14;GenerativeAi;What is the role of the "decoder" in a generative model?;1;EASY;MCQ;Generating new data from latent space;Encoding input data;Making predictions;Evaluating model performance;
15;GenerativeAi;Which training approach involves pre-training a model on a large dataset and fine-tuning on a specific task?;2;EASY;MCQ;Reinforcement Learning;Transfer Learning;Unsupervised Learning;Supervised Learning;
16;GenerativeAi;What is the primary challenge in training generative models like GANs?;3;MEDIUM;MCQ;Limited computing power;Difficulty in defining loss functions;Mode collapse;Lack of labeled data;
17;GenerativeAi;Which of the following is an application of generative AI in the medical field?;1;MEDIUM;MCQ;Image segmentation;Sentiment analysis;Spam detection;Object detection;
18;GenerativeAi;What does the term "mode collapse" refer to in the context of GANs?;1;MEDIUM;MCQ;A specific mode of data dominates the generated samples;The collapse of the neural network layers;A decline in overall model performance;Loss of diversity in generated outputs;
19;GenerativeAi;In the context of natural language processing, what is "style transfer"?;2;MEDIUM;MCQ;Translating text between different languages;Changing the writing style of a given text;Extracting sentiment from text;Summarizing long paragraphs;
